# Input	DiseaseName	DiseaseID	GeneSymbol	GeneID	DiseaseCategories	DiseaseCategories	DirectEvidence	OmimIDs	PubMedIDs
d008107	Carcinoma, Hepatocellular	MESH:D006528	CCBE1	147372	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CCL14	6358	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CCL3	6348	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		16284949
d008107	Carcinoma, Hepatocellular	MESH:D006528	CCN1	3491	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		17699798
d008107	Carcinoma, Hepatocellular	MESH:D006528	CCNA1	8900	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		12029619
d008107	Carcinoma, Hepatocellular	MESH:D006528	CCNB1	891	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CCNB2	9133	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CCND1	595	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		12029619|19919837|22649188|25822088|26189965
d008107	Carcinoma, Hepatocellular	MESH:D006528	CCNE1	898	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		12029619|22634754
d008107	Carcinoma, Hepatocellular	MESH:D006528	CCNF	899	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CCR1	1230	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		16284949
d008107	Carcinoma, Hepatocellular	MESH:D006528	CD163	9332	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CD274	29126	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		22396772
d008107	Carcinoma, Hepatocellular	MESH:D006528	CD276	80381	Cancer|Digestive system disease	Cancer|Digestive system disease	therapeutic		16217749
d008107	Carcinoma, Hepatocellular	MESH:D006528	CD34	947	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CD5L	922	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CDC20	991	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CDC25C	995	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CDC45	8318	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CDC6	990	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CDCA2	157313	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CDCA3	83461	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CDCA5	113130	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CDCA8	55143	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CDH13	1012	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		18425332|18553387|28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CDK1	983	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CDK14	5218	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		22922871
d008107	Carcinoma, Hepatocellular	MESH:D006528	CDK4	1019	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		26189965
d008107	Carcinoma, Hepatocellular	MESH:D006528	CDKN1B	1027	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		20698225
d008107	Carcinoma, Hepatocellular	MESH:D006528	CDKN2A	1029	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		25822088|28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CDKN2C	1031	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CDKN3	1033	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CDT1	81620	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CEBPA	1050	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		16288022|21785164
d008107	Carcinoma, Hepatocellular	MESH:D006528	CEBPB	1051	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		14563831
d008107	Carcinoma, Hepatocellular	MESH:D006528	CEBPD	1052	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		14563831
d008107	Carcinoma, Hepatocellular	MESH:D006528	CELSR3	1951	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CENPA	1058	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CENPE	1062	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CENPF	1063	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CENPM	79019	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CENPU	79682	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CENPW	387103	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CEP131	22994	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CEP55	55165	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CETP	1071	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CFP	5199	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CHAF1B	8208	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CKAP2L	150468	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CLEC1B	51266	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CLEC4G	339390	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CLEC4M	10332	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CLTRN	57393	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CNDP1	84735	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CNTNAP4	85445	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	COL15A1	1306	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	COLEC10	10584	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
